VIMS_ID,DEQ_Site,Description,DEQ_ID,Date,Latitude,Longitude,Total_PCB_ppb,Year,,,,,,
18PS022,11,Mount Landing Creek near Rt. 716,3-MTL004.82,6/14/2018 12:15,37.962083,-76.925417,0.000,2018,,,,,,
18PS007,12,Hoskins Creek near STP outfall,3-HOK002.74,6/12/2018 13:15,37.911450,-76.870733,0.000,2018,,,,,,
18PS008,13,Piscataway Creek near Rt. 17 ,3-PIS004.79,6/18/2018 12:00,37.871150,-76.846417,0.000,2018,,,,,,
18PS010,16,Totuskey Creek near Rt. 3 bridge,3-TOT005.11,6/13/2018 11:30,37.923750,-76.720450,0.912,2018,,,,,,
18PS012,18,Urbanna Creek near Urbanna,3-URB000.00,8/22/2018 10:30,37.638183,-76.568533,0.605,2018,,,,,,
18PS013,19,Corrotoman River near Millenbeck,3-CRR001.38,6/25/2018 14:00,37.665417,-76.479433,0.000,2018,,,,,,
18PS014,20,Carter Creek near Weems,3-CTR000.19,8/14/2018 14:00,37.651083,-76.431983,0.000,2018,,,,,,
18PS016,23,Upper Machodoc Creek near Rt. 218 bridge,1AUMC004.43,8/7/2018 12:01,38.287717,-77.060117,0.000,2018,,,,,,
18PS015,22,Upper Machodoc Creek near Williams Creek,1AUMC001.36,8/6/2018 12:01,38.320717,-77.052250,0.945,2018,,,,,,
18PS017,24,Monroe Creek,1AMON002.49,6/26/2018 14:00,38.248583,-76.968717,1.632,2018,,,,,,
18PS018,25,Nomini Creek at Buoy 8 - Off Hickory Point,1ANOM002.91,8/21/2018 12:30,38.123500,-76.718067,0.000,2018,,,,,,
18PS019,26,Yeocomico River Off Buoy 3,1AYEO001.15,6/27/2018 14:00,38.031633,-76.538183,0.000,2018,,,,,,
18PS020,27,Coan River near Coan,1ACOA004.24,8/16/2018 12:00,37.957500,-76.482083,0.000,2018,,,,,,
18PS021,15,Little Wicomico River near Sawmill Cove,1ALIS005.38,8/20/2018 12:30,37.909950,-76.312583,0.000,2018,,,,,,
18PS024,34,Rivanna River near Rt. 600 bridge at Boat Launch,2-RVN023.01,10/24/2018 11:30,37.918333,-78.297778,0.000,2018,,,,,,
18PS025,35,"Rivanna River, 200m upstream of BYP-250  (Long St) bridge ",2-RVN039.58,10/25/2018 11:30,38.035989,-78.456028,0.000,2018,,,,,,
18PS025D,35,"Rivanna River, 200m upstream of BYP-250  (Long St) bridge ",2-RVN039.58,10/25/2018 11:30,38.035989,-78.456028,0.000,2018,,,,,,
18PS026,33,Rivanna River near Riverview Park off East Market Street at Dam,2-RVN037.54,10/25/2018 12:00,38.020833,-78.455000,0.000,2018,,,,,,
