"","FDT_STA_ID","STA_DESC","Deq_Region","STA_REC_CODE","FDT_DEPTH","FDT_DEPTH_DESC","FDT_PERCENT_FRB","FDT_SSC_CODE","FDT_SPG_CODE","Huc6_Huc_8","Huc6_Huc_8_Name","Huc6_Name","Huc6_Vahu5","Huc6_Huc_12","Huc6_Huc_12_Name","Huc6_Vahu6","STA_LV1_CODE","LV1_DESCRIPTION","STA_LV2_CODE","LV2_DESCRIPTION","STA_LV3_CODE","LV3_DESCRIPTION","STA_CBP_NAME","HUC12","Portion","MAP.x","ASSESS_REG","OFFICE_NM","States","HUType","HUMod","ToHUC","META_ID","Location","VaName","PC_Water","Tidal","VAHUSB","FedName","HUC10","VAHU5","Basin","BASIN_NAME","BASIN_CODE","SUBBASIN","ID305B_1","ID305B_2","ID305B_3","DEPTH","REGION","STA_TYPE1","STA_TYPE2","STA_TYPE3","DD_LAT","DD_LONG","WATERSHED","VAHU6","n","Buffer Distance"
"11","4ARUT002.04","Rutledge Cr @ Elizabeth St, Danville","Blue Ridge","SCRO",0.3,"S",50,"000002","RB","03010104","Lower Dan","Pumpkin Creek-Dan River","RD-I","030101040102","Dan River-Pumpkin Creek","RD39","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","BIOMON","Biological Monitoring site",NA,"030101040102","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","NM","030101040109","VA04","Partial","Dan River-Pumpkin Creek",2,"N","RD","Pumpkin Creek-Dan River","0301010401","RD-I","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L60R_RUT01A12",NA,NA,"S","BRRO","B",NA,NA,36.55733333,-79.41636111,"L60","RD39",1,NA
"12","5AMHN001.22","Meherrin River, 3.5 KM above state line","Piedmont",NA,0.3,"S",50,"000002","FP","03010204","Meheriin","Buckhorn Swamp-Meherrin River","CM-H","030102040902","Meherrin River-Buckhorn Swamp","CM29","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station","VA-1058","030102040902","VA","chowds","TRO","Tidewater","NC,VA","Standard","NM","030102040905","VA01","Partial","Meherrin River-Buckhorn Swamp",0,"N","CM","Buckhorn Swamp-Meherrin River","0301020409","CM-H","Chowan and Dismal Swamp River Basin","Chowan River/Dismal Swamp","5A","Chowan River","VAT-K09R_MHN02D08",NA,NA,"S","TRO","FPM","B",NA,36.5478,-77.3119,"K09R","CM29",1,NA
"13","4ASLC002.75","RT. 655 BRIDGE, PITTSYLVANIA","Blue Ridge","SCRO",0.3,"S",50,"000002","AW","03010104","Lower Dan","Sandy Creek","RD-K","030101040301","Sandy Creek","RD43","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101040301",NA,"roayad","BRRO","Blue Ridge","VA","Standard","NM","030101040302","VA01","Internal","Sandy Creek",0,"N","RD","Sandy Creek","0301010403","RD-K","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L62R_SLC01A04",NA,NA,"S","BRRO","A",NA,NA,36.59055556,-79.24388889,"L62","RD43",1,NA
"14","4AXVQ000.77","UT Sandy 0.25 mile downstream of Rte 732","Blue Ridge","SCRO",0.3,"S",50,"000002","FP","03010104","Lower Dan","Sandy Creek","RD-K","030101040301","Sandy Creek","RD43","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station",NA,"030101040301",NA,"roayad","BRRO","Blue Ridge","VA","Standard","NM","030101040302","VA01","Internal","Sandy Creek",0,"N","RD","Sandy Creek","0301010403","RD-K","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L62R_XVQ01A16",NA,NA,"S","BRRO","FPM","B",NA,36.62677778,-79.29369445,"L62","RD43",1,NA
"15","4AXVQ000.97","Route 732","Blue Ridge","SCRO",0.3,"S",50,"000002","PA","03010104","Lower Dan","Sandy Creek","RD-K","030101040301","Sandy Creek","RD43","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101040301",NA,"roayad","BRRO","Blue Ridge","VA","Standard","NM","030101040302","VA01","Internal","Sandy Creek",0,"N","RD","Sandy Creek","0301010403","RD-K","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L62R_XVQ01A16",NA,NA,"S","BRRO","PA",NA,NA,36.62875833,-79.29619722,"L62","RD43",1,NA
"16","4ADAN042.01","Dan R app 1 mile DS of state line","Blue Ridge","SCRO",0.3,"S",50,"000002","FP","03010104","Lower Dan","Double Creek-Dan River","RD-K","030101040302","Dan River-Double Creek","RD44","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","APROB","Ambient Probabilistic Station",NA,"030101040302","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","NM","030101040304","VA01","Partial","Dan River-Double Creek",1,"N","RD","Double Creek-Dan River","0301010403","RD-K","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L60R_DAN01A00",NA,NA,"S","BRRO","FPM","SS","B",36.552,-79.212,"L60","RD44",1,NA
"17","4ADBC002.19","DOUBLE CREEK, RT. 688 BRIDGE","Blue Ridge","SCRO",0.3,"S",50,"000002","RB","03010104","Lower Dan","Double Creek-Dan River","RD-K","030101040302","Dan River-Double Creek","RD44","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101040302","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","NM","030101040304","VA01","Partial","Dan River-Double Creek",1,"N","RD","Double Creek-Dan River","0301010403","RD-K","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L62R_DBC01A98",NA,NA,"S","BRRO","A","TM","B",36.63166667,-79.17666667,"L62","RD44",1,NA
"18","4ABEE000.80","RT. 727 BRIDGE","Piedmont","SCRO",0.3,"S",50,"000002","RB","03010102","Middle Roanoke","Beech Creek-Johnson Creek","RL-A","030101020803","Johnson Creek-John H Kerr Reservoir","RL01","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101020803","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","RS","030101020804","VA01","Partial","Johnson Creek-John H Kerr Reservoir",0,"N","RL","Beech Creek-Johnson Creek","0301010208","RL-A","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L75R_BEE01A98",NA,NA,"S","BRRO","A","B",NA,36.54361111,-78.62444444,"L75","RL01",1,NA
"19","4AMTR010.33","OFF RT. 637 BRIDGE, HENRY CO","Blue Ridge","WCRO",0.3,"S",50,"000002","AW","03010103","Upper Dan","Matrimony Creek-Dan River","RD-C","030101030505","Dan River-Matrimony Creek","RD14","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101030505","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","NM","030101030901","VA01","Partial","Dan River-Matrimony Creek",0,"N","RD","Matrimony Creek-Dan River","0301010305","RD-C","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L49R_MTR01A02",NA,NA,"S","BRRO","A",NA,NA,36.54833333,-79.84333333,"L49","RD14",1,NA
"20","5ADMR008.42","ROUTE 673 BRIDGE","Tidewater","TRO",0.3,"S",50,"000002","TR","03010201","Nottoway","Mill Creek","CU-L","030102011205","Mill Creek","CU50","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","ATRND","Ambient Trend Station",NA,"030102011205","VA","chowds","TRO","Tidewater","NC,VA","Standard","NM","030102011206","VA03","Partial","Mill Creek",0,"N","CU","Mill Creek","0301020112","CU-L","Chowan and Dismal Swamp River Basin","Chowan River/Dismal Swamp","5A","Chowan River","VAT-K30R_DMR01A02",NA,NA,"S","TRO","A","TR",NA,36.61777778,-77.11833333,"K30R","CU50",1,NA
"21","9-NEW187.46","OFF RT. 58 AT MOUTH OF WILSON OR RT. 93","Southwest","SWRO",0.3,"S",50,"171230","TM","05050001","Upper New","Grassy Creek-New River","NE-B","050500010302","New River-Grassy Creek","NE04","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"050500010302","VA","new","SWRO","Southwest","NC,VA","Standard","NM","050500010305","VA05","Partial","New River-Grassy Creek",2,"N","NE","Grassy Creek-New River","0505000103","NE-B","New River Basin","New River","9",NA,"VAS-N02R_NEW02A98","VAS-N02R_NEW01A98",NA,"0.3 m","SWRO","A","TM",NA,36.585,-81.31388889,"N02","NE04",1,NA
"22","4AMYO001.48","Route 96","Blue Ridge","SCRO",0.3,"S",50,"000002","AW","03010104","Lower Dan","Mayo Creek-Mayo Reservoir","RD-R","030101040605","Mayo Reservoir-Mayo Creek","RD71","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101040605","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","RS","030101040606","VA03","Partial","Mayo Reservoir-Mayo Creek",0,"N","RD","Mayo Creek-Mayo Reservoir","0301010406","RD-R","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L74R_MYO01A04",NA,NA,"S","BRRO","A",NA,NA,36.576,-78.889,"L74","RD71",1,NA
"23","4AHYC016.70","RT. 501 S OF SOUTH BOSTON","Blue Ridge","SCRO",0.3,"S",50,"000002","TR","03010104","Lower Dan","Bowes Branch-Hyco River","RD-R","030101040603","Hyco River-Bowes Branch","RD70","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","ATRND","Ambient Trend Station",NA,"030101040603","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","NM","030101040606","VA03","Partial","Hyco River-Bowes Branch",0,"N","RD","Bowes Branch-Hyco River","0301010406","RD-R","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L74R_HYC02A06",NA,NA,"S","BRRO","A","TR",NA,36.58777778,-78.89861111,"L74","RD70",1,NA
"24","5BXCK000.00","CORPS OF ENGINEERS HEAD. RT. 17 CHESAPEA","Tidewater","TRO",0.3,"S",10,"000002","TR","03010205","Albemarle","Cross Canal-Dismal Swamp Canal","AS-A","030102050606","Dismal Swamp Canal-Cross Canal","AS06","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","ATRND","Ambient Trend Station",NA,"030102050606","VA","chowds","TRO","Tidewater","NC,VA","Unclassified","AW","030102050704","VA05","Partial","Dismal Swamp Canal-Cross Canal",0,"N","AS","Cross Canal-Dismal Swamp Canal","0301020506","AS-A","Chowan and Dismal Swamp River Basin","Chowan River/Dismal Swamp","5B","Dismal Swamp/Albemarle Sound","VAT-K39R_XCK01A00",NA,NA,"S","TRO","A","TR",NA,36.59277778,-76.385,"K39R","AS06",1,NA
"25","4ASMR016.09","GAGE NEAR NETTLE RIDGE, RT 700 BRIDGE","Blue Ridge","WCRO",0.3,"S",50,"000002","TR","03010103","Upper Dan","Crooked Creek-Lower South Mayo River","RD-B","030101030404","Lower South Mayo River-Crooked Creek","RD09","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101030404","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","NM","030101030408","VA01","Partial","Lower South Mayo River-Crooked Creek",0,"N","RD","Crooked Creek-Lower South Mayo River","0301010304","RD-B","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L45R_SMR04A14",NA,NA,"S","BRRO","A","TM",NA,36.57083333,-80.12972222,"L45","RD09",1,NA
"26","4ALIZ003.42","RT. 667 BRIDGE","Piedmont","SCRO",0.3,"S",50,"000002","TM","03010106","Roanoke Rapids","Lizard Creek-Lake Gaston","RL-G","030101060401","Roanoke River/Lake Gaston-Lizard Creek","RL22","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101060401","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","RS","030101060402","VA01","Partial","Roanoke River/Lake Gaston-Lizard Creek",0,"N","RL","Lizard Creek-Lake Gaston","0301010604","RL-G","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L81R_LIZ01A10",NA,NA,"S","BRRO","A",NA,NA,36.55672222,-77.9245,"L81","RL22",1,NA
"27","4ADAN059.97","Dan R 0.13 miles US of Schoolfield Dam","Blue Ridge","SCRO",0.3,"S",50,"14023","DR","03010103","Upper Dan","Danville-Dan River","RD-G","030101030906","Dan River-Danville","RD33","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,"030101030906","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","NM","030101031004","VA01","Partial","Dan River-Danville",3,"N","RD","Danville-Dan River","0301010309","RD-G","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L57R_DAN02A00",NA,NA,"S","BRRO","A",NA,NA,36.57587778,-79.43386944,"L57","RD33",1,NA
"28","4ADAN066.41","Rte 58 Bypass","Blue Ridge","SCRO",0.3,"S",50,"000002","AW","03010103","Upper Dan","Danville-Dan River","RD-G","030101030906","Dan River-Danville","RD33","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030101030906","VA","roayad","BRRO","Blue Ridge","NC,VA","Standard","NM","030101031004","VA01","Partial","Dan River-Danville",3,"N","RD","Danville-Dan River","0301010309","RD-G","Roanoke River Basin","Roanoke River","4A","Roanoke River","VAW-L57R_DAN03A00","VAW-L57R_DAN02A00",NA,"S","BRRO","A",NA,NA,36.544,-79.493,"L57","RD33",1,NA
"29","5ABDD000.69","Beddingfield Creek at Rt. 600","Piedmont","PRO",0.3,"S",50,"12129","TM","03010204","Meheriin","Beddingfield Creek-Rattlesnake Creek","CM-G","030102040701","Rattlesnake Creek-Beddingfield Creek","CM22","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,"030102040701","VA","chowds","PRO","Piedmont","NC,VA","Standard","NM","030102040702","VA01","Partial","Rattlesnake Creek-Beddingfield Creek",0,"N","CM","Beddingfield Creek-Rattlesnake Creek","0301020407","CM-G","Chowan and Dismal Swamp River Basin","Chowan River/Dismal Swamp","5A","Chowan River","VAP-K10R_BDD01A10",NA,NA,"S","PRO","A","TM",NA,36.57,-77.74027778,"K10","CM22",1,NA
"30","5ALNG000.77","Long Branch at Rt. 690","Piedmont","PRO",0.3,"S",50,"12129","TM","03010204","Meheriin","Beddingfield Creek-Rattlesnake Creek","CM-G","030102040701","Rattlesnake Creek-Beddingfield Creek","CM22","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,"030102040701","VA","chowds","PRO","Piedmont","NC,VA","Standard","NM","030102040702","VA01","Partial","Rattlesnake Creek-Beddingfield Creek",0,"N","CM","Beddingfield Creek-Rattlesnake Creek","0301020407","CM-G","Chowan and Dismal Swamp River Basin","Chowan River/Dismal Swamp","5A","Chowan River","VAP-K10R_LNG01A10",NA,NA,"S","PRO","A","TM",NA,36.59305555,-77.78527778,"K10","CM22",1,NA
"31","5ARSK003.08","RATTLESNAKE CREEK RT. 672 BRIDGE","Piedmont","PRO",0.3,"S",50,"12129","TM","03010204","Meheriin","Beddingfield Creek-Rattlesnake Creek","CM-G","030102040701","Rattlesnake Creek-Beddingfield Creek","CM22","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","AWTSHD","Ambient Watershed Station",NA,"030102040701","VA","chowds","PRO","Piedmont","NC,VA","Standard","NM","030102040702","VA01","Partial","Rattlesnake Creek-Beddingfield Creek",0,"N","CM","Beddingfield Creek-Rattlesnake Creek","0301020407","CM-G","Chowan and Dismal Swamp River Basin","Chowan River/Dismal Swamp","5A","Chowan River","VAP-K10R_RSK01A00",NA,NA,"S","PRO","A","TM",NA,36.5925,-77.76722222,"K10","CM22",1,NA
"32","5ARSK006.97","Rattlesnake Creek at Rt. 670","Piedmont","PRO",0.3,"S",50,"12129","TM","03010204","Meheriin","Beddingfield Creek-Rattlesnake Creek","CM-G","030102040701","Rattlesnake Creek-Beddingfield Creek","CM22","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,"030102040701","VA","chowds","PRO","Piedmont","NC,VA","Standard","NM","030102040702","VA01","Partial","Rattlesnake Creek-Beddingfield Creek",0,"N","CM","Beddingfield Creek-Rattlesnake Creek","0301020407","CM-G","Chowan and Dismal Swamp River Basin","Chowan River/Dismal Swamp","5A","Chowan River","VAP-K10R_RSK01A00",NA,NA,"S","PRO","A","TM",NA,36.61444444,-77.80972222,"K10","CM22",1,NA
"33","5ARSK009.28","Rattlesnake Creek at Rt. 667","Piedmont","PRO",0.3,"S",50,"12129","TM","03010204","Meheriin","Beddingfield Creek-Rattlesnake Creek","CM-G","030102040701","Rattlesnake Creek-Beddingfield Creek","CM22","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,"030102040701","VA","chowds","PRO","Piedmont","NC,VA","Standard","NM","030102040702","VA01","Partial","Rattlesnake Creek-Beddingfield Creek",0,"N","CM","Beddingfield Creek-Rattlesnake Creek","0301020407","CM-G","Chowan and Dismal Swamp River Basin","Chowan River/Dismal Swamp","5A","Chowan River","VAP-K10R_RSK01A00",NA,NA,"S","PRO","A","TM",NA,36.61,-77.84194444,"K10","CM22",1,NA
"34","5ARSK011.59","Rattlesnake Creek at Rt. 46","Piedmont","PRO",0.3,"S",50,"12129","TM","03010204","Meheriin","Beddingfield Creek-Rattlesnake Creek","CM-G","030102040701","Rattlesnake Creek-Beddingfield Creek","CM22","STREAM","Station sample at stream(freshwater,freeflow,surface water)","AMBNT","Monitor ambient conditions of environment","SSTUDY","Special Study Station",NA,"030102040701","VA","chowds","PRO","Piedmont","NC,VA","Standard","NM","030102040702","VA01","Partial","Rattlesnake Creek-Beddingfield Creek",0,"N","CM","Beddingfield Creek-Rattlesnake Creek","0301020407","CM-G","Chowan and Dismal Swamp River Basin","Chowan River/Dismal Swamp","5A","Chowan River","VAP-K10R_RSK01A00",NA,NA,"S","PRO","A","TM",NA,36.61333333,-77.87361111,"K10","CM22",1,NA
