"STATION_ID","ID305B_1","ID305B_2","ID305B_3","ID305B_4","ID305B_5","ID305B_6","ID305B_7","ID305B_8","ID305B_9","ID305B_10","WATER_TYPE","SALINITY","LACUSTRINE","REGION","TYPE_1","TYPE_2","TYPE_3","TYPE_4","TYPE_5","TYPE_6","TYPE_7","TYPE_8","TYPE_9","TYPE_10","LATITUDE","LONGITUDE","WATERSHED","VAHU6","TEMP_EXC","TEMP_SAMP","TEMP_STAT","DO_EXC","DO_SAMP","DO_STAT","PH_EXC","PH_SAMP","PH_STAT","ECOLI_EXC","ECOLI_SAMP","ECOLI_GM_EXC","ECOLI_GM_SAMP","ECOLI_STAT","ENTER_EXC","ENTER_SAMP","ENTER_GM_EXC","ENTER_GM_SAMP","ENTER_STAT","AMMONIA_EXC","AMMONIA_STAT","WAT_MET_EXC","WAT_MET_STAT","WAT_TOX_EXC","WAT_TOX_STAT","SED_MET_EXC","SED_MET_STAT","SED_TOX_EXC","SED_TOX_STAT","FISH_MET_EXC","FISH_MET_STAT","FISH_TOX_EXC","FISH_TOX_STAT","BENTHIC_STAT","BENTHIC_WOE_CAT","BIBI_SCORE","NUT_TP_EXC","NUT_TP_SAMP","NUT_TP_STAT","NUT_CHLA_EXC","NUT_CHLA_SAMP","NUT_CHLA_STAT","COMMENTS","WQS_ID","Buffer Distance","Comments","GNIS_ID","GNIS_Name","FType","FCode","WATER_NAME","BASIN","WQS_COMMEN","SEC","CLASS","SPSTDS","Basin_Code","PWS","Edit_Date","Tier_III","Backlog","ZONE","SECTION_DESCRIPTION","created_user","created_date","last_edited_user","last_edited_date","Shape_Length","Shape_Area","WQS_COMMENT","Trout","StreamType","Lakes_187B"
"1AACO011.27","VAN-A15R_ACO01B10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","B","TM",NA,NA,NA,NA,NA,NA,NA,NA,38.780119,-77.209189,"A15R","PL30",0,1,"W",0,1,"W",0,1,"W",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"IM",NA,NA,0,0,NA,0,0,NA,NA,"RL_1A_317461","Manual Review | 20 m","Manual Accept |","01478094","Accotink Creek",558,55800,"Accotink Creek","1A",NA,"7","III","b","Potomac-Lower",NA,NA,NA,NA,NA,"Free flowing portions of tributaries to the Potomac River from Shipping Point to Chain Bridge, unless otherwise designated in this chapter.",NA,NA,NA,NA,1135.23212356773,NA,NA,NA,"Artificial Path",NA
"1AACO014.57","VAN-A15R_ACO02A00","VAN-A15R_ACO03A02","VAN-A15R_ACO04A02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","B","TR,TM",NA,NA,NA,NA,NA,NA,NA,38.81111111,-77.23055556,"A15R","PL30",0,97,"S",0,97,"S",0,95,"S",32,91,NA,NA,"IM",29,55,NA,NA,"NA",NA,NA,0,NA,3,"IM",0,NA,0,NA,0,NA,0,NA,"IM",NA,NA,0,0,NA,0,0,NA,"WAT=IM (4 acute,2 chronic); NH3=S","RL_1A_315907","Manual Review | 40 m","Manual Accept |","01478094","Accotink Creek",460,46006,"Accotink Creek","1A",NA,"7","III","b","Potomac-Lower",NA,NA,NA,NA,NA,"Free flowing portions of tributaries to the Potomac River from Shipping Point to Chain Bridge, unless otherwise designated in this chapter.",NA,NA,NA,NA,750.73534372118,NA,NA,NA,"Perennial",NA
"1AAUA000.34","VAN-A28E_AUA01A14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,38.38475,-77.31441667,"A28E","PL61",0,2,"NA",0,2,"NA",0,2,"S",0,1,NA,NA,"NA",0,0,NA,NA,NA,NA,NA,0,NA,0,"IN",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,"WoE:2015 (2A); WAT TOX:NH3","EP_1A_012691","Manual Review | NA","Manual Accept |"," "," ",460,46006,"Aquia Creek","1A"," ","4","II","b","Potomac-Lower"," ",NA," "," ","Transition","Tidal portions of the tributaries to the Potomac River from Marlboro Point to Brent Point (to include Aquia Creek and its tributaries).",NA,NA,NA,NA,60088.0610047956,9611918.92059995,NA,NA,NA,NA
"1AAUA001.39","VAN-A28E_AUA01B06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","TR",NA,NA,NA,NA,NA,NA,NA,NA,38.40025,-77.32977778,"A28E","PL57",0,3,"NA",0,3,"NA",0,3,"S",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,"2018 use support carryover (recreation)","EP_1A_012691","Manual Review | NA","Manual Accept |"," "," ",460,46006,"Aquia Creek","1A"," ","4","II","b","Potomac-Lower"," ",NA," "," ","Transition","Tidal portions of the tributaries to the Potomac River from Marlboro Point to Brent Point (to include Aquia Creek and its tributaries).",NA,NA,NA,NA,60088.0610047956,9611918.92059995,NA,NA,NA,NA
"1AAUA003.00","VAN-A28E_AUA01B20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","C2","TE","C",NA,NA,NA,NA,NA,NA,NA,38.416342,-77.345605,"A28E","PL57",0,2,"NA",0,2,"NA",0,2,"S",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,"S",0,NA,NA,NA,NA,0,0,NA,0,0,NA,"WoE:2017 (3B); FISH MET:2017","EP_1A_012691","Manual Review | NA","Manual Accept |"," "," ",460,46006,"Aquia Creek","1A"," ","4","II","b","Potomac-Lower"," ",NA," "," ","Transition","Tidal portions of the tributaries to the Potomac River from Marlboro Point to Brent Point (to include Aquia Creek and its tributaries).",NA,NA,NA,NA,60088.0610047956,9611918.92059995,NA,NA,NA,NA
"1AAUA003.71","VAN-A28E_AUA01C00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","TR","SS,C",NA,NA,NA,NA,NA,NA,NA,38.42305556,-77.35527778,"A28E","PL57",0,109,"NA",0,109,"NA",1,105,"S",0,17,NA,NA,"NA",0,34,NA,NA,"S",NA,NA,0,NA,0,NA,0,NA,0,"IN",0,NA,10,"IM",NA,NA,NA,0,0,NA,0,0,NA,"SED TOX:PCB; FISH TOX:PBC=IM (2015:BGS,CHC,BLC,WHC,GSH,NSH; 2016:NSH); 2008 SED MET OE carryover (Hg)","EP_1A_012691","Manual Review | NA","Manual Accept |"," "," ",460,46006,"Aquia Creek","1A"," ","4","II","b","Potomac-Lower"," ",NA," "," ","Transition","Tidal portions of the tributaries to the Potomac River from Marlboro Point to Brent Point (to include Aquia Creek and its tributaries).",NA,NA,NA,NA,60088.0610047956,9611918.92059995,NA,NA,NA,NA
"1AAUA005.35","VAN-A28E_AUA01D06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","TR","SS,C",NA,NA,NA,NA,NA,NA,NA,38.43811111,-77.36619445,"A28E","PL57",0,69,"NA",0,69,"NA",0,66,"S",0,0,NA,NA,NA,0,4,NA,NA,"S",NA,NA,0,NA,0,NA,0,NA,0,NA,0,"S",0,NA,NA,NA,NA,0,0,NA,0,0,NA,"FISH MET:2018","EP_1A_012691","Manual Review | NA","Manual Accept |"," "," ",460,46006,"Aquia Creek","1A"," ","4","II","b","Potomac-Lower"," ",NA," "," ","Transition","Tidal portions of the tributaries to the Potomac River from Marlboro Point to Brent Point (to include Aquia Creek and its tributaries).",NA,NA,NA,NA,60088.0610047956,9611918.92059995,NA,NA,NA,NA
"1AAUA014.51","VAN-A27R_AUA01A00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","TR",NA,NA,NA,NA,NA,NA,NA,NA,38.49083333,-77.43444444,"A27R","PL56",0,36,"S",0,36,"S",0,36,"S",6,34,NA,NA,"IM",12,23,NA,NA,"NA",NA,NA,0,NA,0,"S",0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,"WAT TOX: nitrate,sulfate,Cl","RL_1A_310797","Manual Review | 80 m","Manual Accept |","01462534","Aquia Creek",558,55800,"Aquia Creek","1A",NA,"4b","III","PWS, b","Potomac-Lower","Yes",NA,NA,NA,NA,"Aquia Creek from the Aquia Sanitary District Water Impoundment, and other tributaries into the impoundment, including Beaverdam Run and the Lunga Reservoir upstream to their headwaters.",NA,NA,NA,NA,387.506892572782,NA,NA,NA,"Artificial Path",NA
"1ABAR037.84","VAV-B07R_BAR02A10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VRO","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.32063889,-78.20939444,"B07R","PU13",0,16,"S",0,16,"S",0,16,"S",3,13,NA,NA,"IM",0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,"WQS - Basin 1A: Section 11: Class IV: Special Standards: pH","RL_1A_236832","Manual Review | 20 m","Manual Accept |","01481368","Back Creek",558,55800,"Back Creek","1A",NA,"11","IV","pH-6.5-9.5","Potomac-Lower",NA,NA,NA,NA,NA,"Tributaries of the Potomac River in Frederick and Clarke Counties, Virginia, unless otherwise designated in this chapter.",NA,NA,NA,NA,33.0730487919645,NA,NA,NA,"Artificial Path",NA
"1ABAR038.57","VAV-B07R_BAR02A10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VRO","B","FPM",NA,NA,NA,NA,NA,NA,NA,NA,39.31795,-78.21787778,"B07R","PU13",0,2,"S",0,2,"S",0,2,"S",1,2,NA,NA,"O",0,0,NA,NA,NA,NA,NA,0,"W",0,"S",0,NA,0,NA,0,NA,0,NA,"FS",NA,NA,0,0,NA,0,0,NA,"WQS - Basin 1A: Section 11: Class IV: Special Standards: pH. Regional Biologist needs more data for assessment. Not assessed.","RL_1A_236820","Manual Review | NA","Manual Accept |","01481368","Back Creek",558,55800,"Back Creek","1A",NA,"11","IV","pH-6.5-9.5","Potomac-Lower",NA,NA,NA,NA,NA,"Tributaries of the Potomac River in Frederick and Clarke Counties, Virginia, unless otherwise designated in this chapter.",NA,NA,NA,NA,406.073299617591,NA,NA,NA,"Artificial Path",NA
"1ABAR052.96","VAV-B05R_BAR03A10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VRO","A","B",NA,NA,NA,NA,NA,NA,NA,NA,39.208417,-78.401,"B05R","PU10",0,13,"S",0,12,"S",0,13,"S",1,13,NA,NA,"S",0,0,NA,NA,NA,NA,NA,0,"W",0,"S",0,NA,0,NA,0,NA,0,NA,"FS",NA,NA,0,0,NA,0,0,NA,"WQS - Basin 1A: Section 11: Class IV: Special Standards: pH","RL_1A_233877","Manual Review | NA","Manual Accept |","01481368","Back Creek",460,46006,"Back Creek","1A",NA,"11","V","pH-6.5-9.5","Potomac-Lower",NA,NA,NA,NA,NA,"Back Creek (upper) from Rock Enon 4 miles upstream.",NA,NA,NA,NA,1325.94437498663,NA,NA,"Yes","Perennial",NA
"1ABEC004.76","VAN-A07R_BEC01A00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","TR",NA,NA,NA,NA,NA,NA,NA,NA,39.03738611,-77.72278056,"A07R","PL11",0,36,"S",0,35,"S",0,36,"S",13,36,NA,NA,"IM",15,22,NA,NA,"NA",NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,"RL_1A_243359","Manual Review | 20 m","Manual Accept |","01462967","Beaverdam Creek",558,55800,"Beaverdam Creek","1A",NA,"9","III","","Potomac-Lower",NA,NA,NA,NA,NA,"Broad Run, Sugarland Run, Difficult Run, Tuscarora Creek, Sycolin Creek, and other streams tributary to streams in Section 8 from a point 5 miles above their confluence with the Potomac River to their headwaters, unless otherwise designated in this chapter.",NA,NA,NA,NA,103.100887391695,NA,NA,NA,"Artificial Path",NA
"1ABOM000.46","VAP-A33E_BOM01B10","VAP-A33E_BOM01A98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRO","A","TM",NA,NA,NA,NA,NA,NA,NA,NA,38.09113889,-76.58108333,"A33E","PL70",0,12,"NA",0,12,NA,0,12,"S",0,0,NA,NA,NA,4,11,NA,NA,"IM",NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,"No data since 2018 cycle","EP_1A_012547","Manual Review | NA","Manual Accept |"," "," ",460,46006,"Bonum Creek","1A"," ","1","II"," ","Potomac-Lower"," ",NA," "," ","Estuarine","Tidal tributaries of the Potomac River from Smith Point to Upper Machodoc Creek (Baber Point).",NA,NA,NA,NA,514.03392963942,5410.59149762653,NA,NA,NA,NA
"1ABRB002.15","VAN-A09R_BRB01A00","VAN-A09R_BRB02A06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","TM","TR,C",NA,NA,NA,NA,NA,NA,NA,39.04666667,-77.43277778,"A09R","PL19",0,34,"S",0,34,"S",0,34,"S",4,33,NA,NA,"IM",9,21,NA,NA,"NA",NA,NA,0,NA,0,"S",0,NA,0,"IN",0,NA,2,"IM",NA,NA,NA,0,0,NA,0,0,NA,"WAT TOX:nitrate,sulfate,Cl,NH3; SED TOX:PCB; FISH TOX:PCB=IM (2015:AME,CHC); 2010 FISH_MET (Hg) IM carryover; 2018 BENTHIC IM carryover","RL_1A_316712","Manual Review | 20 m","Manual Accept |","01463852","Broad Run",558,55800,"Broad Run","1A",NA,"8","III","PWS","Potomac-Lower","Yes",NA,NA,NA,NA,"Tributaries to the Potomac River in Virginia between Chain Bridge and the Monacacy River from their confluence with the Potomac upstream 5 miles, to include Goose Creek to the City of Fairfax's raw water intake, unless otherwise designated in this chapter.",NA,NA,NA,NA,976.03392588233,NA,NA,NA,"Artificial Path",NA
"1ABRU001.59","VAN-A19R_BRU01A04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","TR",NA,NA,NA,NA,NA,NA,NA,NA,38.69195833,-77.49440278,"A19R","PL34",0,36,"S",0,36,"S",1,35,"S",12,34,NA,NA,"IM",21,24,NA,NA,"NA",NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,"RL_1A_227754","Manual Review | 20 m","Manual Accept | RL_1A_311545","01463851","Broad Run",558,55800,"Broad Run","1A",NA,"7a","III","g","Potomac-Lower",NA,NA,NA,NA,NA,"Occoquan River and its tributaries to their headwaters above Fairfax County Water Authority's water supply impoundment, unless otherwise designated in this chapter.",NA,NA,NA,NA,248.279254819478,NA,NA,NA,"Artificial Path",NA
"1ABRU001.59","VAN-A19R_BRU01A04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","TR",NA,NA,NA,NA,NA,NA,NA,NA,38.69195833,-77.49440278,"A19R","PL34",0,36,"S",0,36,"S",1,35,"S",12,34,NA,NA,"IM",21,24,NA,NA,"NA",NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,"RL_1A_227760","Manual Review | 20 m","Manual Accept | RL_1A_311545",NA,NA,558,55800,"Broad Run","1A",NA,"7a","III","g","Potomac-Lower",NA,NA,NA,NA,NA,"Occoquan River and its tributaries to their headwaters above Fairfax County Water Authority's water supply impoundment, unless otherwise designated in this chapter.",NA,NA,NA,NA,273.307782248337,NA,NA,NA,"Artificial Path",NA
"1ABRU001.59","VAN-A19R_BRU01A04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRO","A","TR",NA,NA,NA,NA,NA,NA,NA,NA,38.69195833,-77.49440278,"A19R","PL34",0,36,"S",0,36,"S",1,35,"S",12,34,NA,NA,"IM",21,24,NA,NA,"NA",NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,"RL_1A_311545","Manual Review | 20 m","Manual Accept | RL_1A_311545","01463851","Broad Run",558,55800,"Broad Run","1A",NA,"7a","III","g","Potomac-Lower",NA,NA,NA,NA,NA,"Occoquan River and its tributaries to their headwaters above Fairfax County Water Authority's water supply impoundment, unless otherwise designated in this chapter.",NA,NA,NA,NA,906.791985409731,NA,NA,NA,"Artificial Path",NA
